genre,num_songs,cv_folds,baseline_mae,model_mae,baseline_rmse,model_rmse,test_r2_score,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,model_path
electronic,567,5,14.104566050888813,10.49184210526316,17.258090292257442,13.233785941705314,0.38862687755720415,11.22461465201465,0.8890686003917867,14.45516206141366,1.144008475681373,0.34393503375132983,0.10704829749036397,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_electronic.pkl
pop,494,5,23.192890934663083,18.875030303030304,26.612625457393875,22.907741266494607,0.25812987096507123,18.24184894514768,0.8747810752824043,23.357453564938186,0.7102935906814575,0.058296264288870914,0.07031417282434112,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_pop.pkl
latin,411,5,18.449272700558325,15.081445783132533,20.934282335999455,18.604628262104146,0.07336124733997484,16.076841491841492,1.6186305730183577,19.58546074616707,1.567617743048628,0.15401831183210307,0.10336075993648428,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_latin.pkl
hip-hop,370,5,14.33445945945946,13.180405405405406,18.67210169629431,17.56819950318711,0.1147177349089874,12.658340112994349,1.1180573533821145,17.00144921403541,0.9211646527575251,0.05483732823630687,0.10629789999441948,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_hip_hop.pkl
ambient,358,5,14.395979020979022,12.560138888888892,17.31164045367353,15.8565840250807,0.15677693870778042,12.074258923169996,1.2391264413276533,15.22899574608719,0.9368095768741836,0.04519697462874228,0.04547448870303097,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_ambient.pkl
rock,318,5,10.126845472440941,11.851729166666667,12.371586821718584,15.853688894684556,-0.9289752848596284,12.574250509803921,0.9950999469045173,16.85628858476592,1.6735077830076865,-0.08529763374215862,0.13086348042286663,C:\Users\abals\Desktop\Masters\1st year\2nd semester\CIS 730\Final Deliverable Project\models\genre_models\model_rock.pkl
